"","sample_name","title","source_name","organism","strain","tissue","batch","genotype","exposure","group","group_color","molecule","description","processed_data_file","raw_file_1","raw_file_2"
"NSD1","NSD1","NSD1","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"NSD","NSD_batch1","#B2DF8A","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD1_R1.fastq.gz","NSD1_R2.fastq.gz"
"NSD2","NSD2","NSD2","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"NSD","NSD_batch1","#B2DF8A","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD2_R1.fastq.gz","NSD2_R2.fastq.gz"
"NSD3","NSD3","NSD3","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"NSD","NSD_batch1","#B2DF8A","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD3_R1.fastq.gz","NSD3_R2.fastq.gz"
"NSD4","NSD4","NSD4","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"NSD","NSD_batch1","#B2DF8A","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD4_R1.fastq.gz","NSD4_R2.fastq.gz"
"NSD5","NSD5","NSD5","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"NSD","NSD_batch2","#33A02C","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD5_R1.fastq.gz","NSD5_R2.fastq.gz"
"NSD6","NSD6","NSD6","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"NSD","NSD_batch2","#33A02C","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD6_R1.fastq.gz","NSD6_R2.fastq.gz"
"NSD7","NSD7","NSD7","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"NSD","NSD_batch2","#33A02C","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD7_R1.fastq.gz","NSD7_R2.fastq.gz"
"NSD8","NSD8","NSD8","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"NSD","NSD_batch2","#33A02C","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD8_R1.fastq.gz","NSD8_R2.fastq.gz"
"NSD9","NSD9","NSD9","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"NSD","NSD_batch2","#33A02C","total RNA (Ribo-Zero gold)","","counts_all.csv","NSD9_R1.fastq.gz","NSD9_R2.fastq.gz"
"SD1","SD1","SD1","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"SD","SD_batch1","#CAB2D6","total RNA (Ribo-Zero gold)","","counts_all.csv","SD1_R1.fastq.gz","SD1_R2.fastq.gz"
"SD2","SD2","SD2","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"SD","SD_batch1","#CAB2D6","total RNA (Ribo-Zero gold)","","counts_all.csv","SD2_R1.fastq.gz","SD2_R2.fastq.gz"
"SD3","SD3","SD3","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"SD","SD_batch1","#CAB2D6","total RNA (Ribo-Zero gold)","","counts_all.csv","SD3_R1.fastq.gz","SD3_R2.fastq.gz"
"SD4","SD4","SD4","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch1",NA,"SD","SD_batch1","#CAB2D6","total RNA (Ribo-Zero gold)","","counts_all.csv","SD4_R1.fastq.gz","SD4_R2.fastq.gz"
"SD5","SD5","SD5","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"SD","SD_batch2","#6A3D9A","total RNA (Ribo-Zero gold)","","counts_all.csv","SD5_R1.fastq.gz","SD5_R2.fastq.gz"
"SD6","SD6","SD6","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"SD","SD_batch2","#6A3D9A","total RNA (Ribo-Zero gold)","","counts_all.csv","SD6_R1.fastq.gz","SD6_R2.fastq.gz"
"SD7","SD7","SD7","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"SD","SD_batch2","#6A3D9A","total RNA (Ribo-Zero gold)","","counts_all.csv","SD7_R1.fastq.gz","SD7_R2.fastq.gz"
"SD8","SD8","SD8","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"SD","SD_batch2","#6A3D9A","total RNA (Ribo-Zero gold)","","counts_all.csv","SD8_R1.fastq.gz","SD8_R2.fastq.gz"
"SD9","SD9","SD9","Whole hippocampus","Mus musculus","C57BL/6j","Whole hippocampus","batch2",NA,"SD","SD_batch2","#6A3D9A","total RNA (Ribo-Zero gold)","","counts_all.csv","SD9_R1.fastq.gz","SD9_R2.fastq.gz"
